AREA # 020010101,1,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
MARRUECOS,1,1.12,1.12
BOLIVIA,8,8.99,10.11
BRASIL,1,1.12,11.24
COLOMBIA,3,3.37,14.61
PARAGUAY,42,47.19,61.8
PERU,30,33.71,95.51
URUGUAY,2,2.25,97.75
FRANCIA,1,1.12,98.88
UCRANIA,1,1.12,100
Total,89,100,100
,,,
NSA :,247,,
,,,
AREA # 020010201,2,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,52,61.9,61.9
PARAGUAY,28,33.33,95.24
PERU,4,4.76,100
Total,84,100,100
,,,
NSA :,394,,
,,,
AREA # 020010202,3,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,56,54.9,54.9
PARAGUAY,44,43.14,98.04
PERU,1,0.98,99.02
URUGUAY,1,0.98,100
Total,102,100,100
,,,
NSA :,299,,
,,,
AREA # 020010203,4,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,36,67.92,67.92
COLOMBIA,1,1.89,69.81
PARAGUAY,12,22.64,92.45
PERU,4,7.55,100
Total,53,100,100
,,,
NSA :,284,,
,,,
AREA # 020010204,5,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,59,81.94,81.94
PARAGUAY,5,6.94,88.89
PERU,8,11.11,100
Total,72,100,100
,,,
NSA :,530,,
,,,
AREA # 020010205,6,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,13,40.63,40.63
PARAGUAY,13,40.63,81.25
PERU,6,18.75,100
Total,32,100,100
,,,
NSA :,275,,
,,,
AREA # 020010206,7,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,73,32.59,32.59
COLOMBIA,1,0.45,33.04
PARAGUAY,116,51.79,84.82
PERU,33,14.73,99.55
URUGUAY,1,0.45,100
Total,224,100,100
,,,
NSA :,508,,
,,,
AREA # 020010207,8,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,44,37.29,37.29
PARAGUAY,67,56.78,94.07
PERU,6,5.08,99.15
URUGUAY,1,0.85,100
Total,118,100,100
,,,
NSA :,320,,
,,,
AREA # 020010208,9,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,153,55.84,55.84
COLOMBIA,1,0.36,56.2
PARAGUAY,73,26.64,82.85
PERU,47,17.15,100
Total,274,100,100
,,,
NSA :,212,,
,,,
AREA # 020010209,10,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
NIGERIA,1,0.52,0.52
BOLIVIA,91,47.4,47.92
ECUADOR,1,0.52,48.44
PARAGUAY,39,20.31,68.75
PERU,59,30.73,99.48
URUGUAY,1,0.52,100
Total,192,100,100
,,,
NSA :,319,,
,,,
AREA # 020010210,11,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,59,61.46,61.46
CHILE,3,3.13,64.58
PARAGUAY,23,23.96,88.54
PERU,10,10.42,98.96
PORTUGAL,1,1.04,100
Total,96,100,100
,,,
NSA :,231,,
,,,
AREA # 020010211,12,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,149,54.58,54.58
ESTADOS UNIDOS,1,0.37,54.95
PARAGUAY,104,38.1,93.04
PERU,18,6.59,99.63
URUGUAY,1,0.37,100
Total,273,100,100
,,,
NSA :,338,,
,,,
AREA # 020010212,13,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,74,16.48,16.48
PARAGUAY,296,65.92,82.41
PERU,77,17.15,99.55
URUGUAY,1,0.22,99.78
ESPA�A,1,0.22,100
Total,449,100,100
,,,
NSA :,776,,
,,,
AREA # 020010213,14,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,113,68.07,68.07
PARAGUAY,37,22.29,90.36
PERU,16,9.64,100
Total,166,100,100
,,,
NSA :,310,,
,,,
AREA # 020010214,15,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,60,20.27,20.27
BRASIL,1,0.34,20.61
CUBA,1,0.34,20.95
PARAGUAY,156,52.7,73.65
PERU,75,25.34,98.99
URUGUAY,2,0.68,99.66
ESPA�A,1,0.34,100
Total,296,100,100
,,,
NSA :,392,,
,,,
AREA # 020010215,16,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,89,27.38,27.38
BRASIL,1,0.31,27.69
CHILE,3,0.92,28.62
MEXICO,1,0.31,28.92
PARAGUAY,120,36.92,65.85
PERU,108,33.23,99.08
URUGUAY,3,0.92,100
Total,325,100,100
,,,
NSA :,432,,
,,,
AREA # 020010216,17,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,210,31.11,31.11
PARAGUAY,331,49.04,80.15
PERU,132,19.56,99.7
URUGUAY,2,0.3,100
Total,675,100,100
,,,
NSA :,453,,
,,,
AREA # 020010217,18,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,106,43.27,43.27
ESTADOS UNIDOS,1,0.41,43.67
PARAGUAY,59,24.08,67.76
PERU,79,32.24,100
Total,245,100,100
,,,
NSA :,467,,
,,,
AREA # 020010218,19,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,95,52.49,52.49
CHILE,1,0.55,53.04
PARAGUAY,49,27.07,80.11
PERU,36,19.89,100
Total,181,100,100
,,,
NSA :,299,,
,,,
AREA # 020010219,20,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,68,26.77,26.77
