"","x"
"PARAGUAY",80325
"BOLIVIA",76609
"PERU",60478
"URUGUAY",30741
"ESPA�A",26282
"ITALIA",22168
"BRASIL",10357
"CHILE",9857
"COLOMBIA",9619
"ESTADOS UNIDOS",5979
"COREA DEMOCRATICA",4337
"CHINA",3932
"VENEZUELA",3002
"FRANCIA",2838
"ECUADOR",2761
"POLONIA",2478
"ALEMANIA",2321
"MEXICO",2024
"REPUBLICA DOMINICANA",1994
"COREA REPUBLICANA",1905
"TAIWAN",1717
"CUBA",1553
"JAPON",1484
"UCRANIA",1416
"REINO UNIDO",1162
"RUSIA",1150
"ISRAEL",978
"PORTUGAL",694
"GRECIA",676
"ARMENIA",629
"CANADA",588
"SUIZA",533
"TURQUIA",490
"AUSTRALIA",450
"RUMANIA",449
"SIRIA",441
"PAISES BAJOS",416
"BELGICA",399
"AUSTRIA",382
"LIBANO",336
"PANAMA",310
"SUECIA",272
"HUNGRIA",271
"COSTA RICA",268
"SENEGAL",251
"INDIA",216
"CROACIA",209
"EL SALVADOR",206
"GUATEMALA",200
"DINAMARCA",167
"REPUBLICA CHECA",167
"MONTENEGRO",164
"SUDAFRICA",155
"PUERTO RICO",147
"EGIPTO",145
"BULGARIA",129
"NORUEGA",127
"LITUANIA",125
"IRLANDA",121
"ESLOVENIA",118
"HONDURAS",97
"MARRUECOS",95
"KAZAJISTAN",93
"HAITI",90
"NICARAGUA",87
"IRAN",84
"NIGERIA",82
"FINLANDIA",78
"NUEVA ZELANDA",69
"ESLOVAQUIA",59
"ESTONIA",58
"ARGELIA",51
"GHANA",49
"FILIPINAS",44
"BANGLADESH",44
"MALASIA",43
"TAILANDIA",38
"VIETNAM",38
"LIBIA",38
"ANGOLA",37
"LAO",32
"INDONESIA",32
"CHIPRE",31
"CAMERUN",31
"TERRITORIOS AUTONOMOS PALESTINOS",29
"LETONIA",29
"GEORGIA",29
"CONGO",28
"IRAQ",26
"ALBANIA",25
"PAQUISTAN",25
"COSTA DE MARFIL",24
"AFRICA",24
"ARABIA SAUDITA",22
"SINGAPUR",22
"BIELORUS",19
"TUNEZ",18
"SIERRA LEONA",16
"CHECHENIA",16
"GUINEA",15
"JORDANIA",15
"EMIRATOS ARABES",14
"CABO VERDE",14
"ISLANDIA",13
"KENYA",12
"HONG KONG",11
"UZBEKISTAN",11
"KUWAIT",10
"LIBERIA",10
"JAMAICA",9
"ZIMBABWE",9
"ETIOPIA",9
"MACEDONIA",8
"TRINIDAD Y TOBAGO",8
"MOLDOVA",7
"TANZANIA",7
"RWANDA",7
"GUINEA ECUATORIAL",7
"QATAR",6
"UGANDA",6
"MOZAMBIQUE",6
"LUXEMBURGO",6
"ANDORRA",5
"KIRGUISTAN",5
"AFGANISTAN",4
"SOMALIA",4
"MALI",4
"SRI LANKA",4
"TURKMENISTAN",4
"ERITREA",3
"BARBADOS",3
"BOTSWANA",3
"SUDAN",3
"GUYANA",3
"BRUNEI",3
"MONACO",3
"MONGOLIA",3
"ANTILLAS HOLANDESAS",3
"TOGO",3
"NAMIBIA",2
"DOMINICA",2
"SURINAME",2
"GAMBIA",2
"NAURU",2
"GUINEA BISSAU",2
"NEPAL",2
"OCEANIA",2
"BENIN",1
"SAMOA OCCIDENTAL",1
"BOSNIA HERZEGOVINA",1
"ASIA",1
"GABON",1
"BAHAMAS",1
"MALTA",1
"MAURITANIA",1
"BELICE",1
"MADAGASCAR",1
"OMAN",1
"GRENADA",1
